open_time,open,high,low,close,volume
2025-12-05,92078.06000000,92692.36000000,88056.00000000,89330.04000000,19792.97218000
2025-12-06,89330.04000000,90289.97000000,88908.01000000,89236.79000000,8409.50016000
2025-12-07,89236.80000000,91760.00000000,87719.28000000,90395.31000000,13021.11185000
2025-12-08,90395.32000000,92287.15000000,89612.00000000,90634.34000000,15793.63887000
2025-12-09,90634.35000000,94588.99000000,89500.00000000,92678.80000000,21240.43014000
2025-12-10,92678.81000000,94476.00000000,91563.15000000,92015.37000000,18998.68083000
2025-12-11,92015.38000000,93555.00000000,89260.63000000,92513.38000000,19972.58758000
2025-12-12,92513.38000000,92754.00000000,89480.00000000,90268.42000000,16679.19169000
2025-12-13,90268.43000000,90634.55000000,89766.39000000,90240.01000000,5895.70788000
2025-12-14,90240.00000000,90472.40000000,87577.36000000,88172.17000000,9416.94004000
2025-12-15,88172.16000000,90052.64000000,85146.64000000,86432.08000000,19778.69190000
2025-12-16,86432.08000000,88175.98000000,85266.00000000,87863.42000000,18456.05017000
2025-12-17,87863.43000000,90365.85000000,85314.00000000,86243.22000000,19834.11729000
2025-12-18,86243.23000000,89477.61000000,84450.01000000,85516.41000000,25405.41763000
2025-12-19,85516.41000000,89399.97000000,85110.24000000,88136.94000000,21256.65004000
2025-12-20,88136.95000000,88573.07000000,87795.76000000,88360.90000000,5123.13194000
2025-12-21,88360.91000000,89081.77000000,87600.04000000,88658.86000000,7132.87258000
2025-12-22,88658.87000000,90588.23000000,87900.00000000,88620.79000000,14673.21970000
2025-12-23,88620.79000000,88940.00000000,86601.90000000,87486.00000000,13910.32904000
2025-12-24,87486.00000000,88049.89000000,86420.00000000,87669.45000000,9140.84320000
2025-12-25,87669.44000000,88592.74000000,86934.72000000,87225.27000000,7096.58235000
2025-12-26,87225.27000000,89567.75000000,86655.08000000,87369.56000000,18344.61505000
2025-12-27,87369.56000000,87984.00000000,87253.05000000,87877.01000000,4469.55156000
2025-12-28,87877.00000000,88088.75000000,87435.00000000,87952.71000000,4446.29285000
2025-12-29,87952.71000000,90406.08000000,86806.50000000,87237.13000000,19894.98575000
2025-12-30,87237.13000000,89400.00000000,86845.66000000,88485.49000000,13105.91001000
2025-12-31,88485.50000000,89200.00000000,87250.00000000,87648.22000000,11558.62047000
2026-01-01,87648.21000000,88919.45000000,87550.43000000,88839.04000000,6279.57133000
